,Unnamed: 0,inscricao,razao_social,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
1,1,210264-1,ACAO SOCIAL DA PAROQUIA DE SAO RAIMUNDO ASPAR,R  JOSE FREITAS DA SILVA   SN  BELA VISTA FORTALEZA - CE CEP:60442242,Católica Apostólica Romana,-3.7480226,-38.5666529,Bela Vista,Pici,106
2,2,7945-6,ACAO SOCIAL DA PAROQUIA DE SAO RAIMUNDO ASPAR,R  FRANCISCA CLOTILDE 826  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-3.7445849,-38.55471989999999,Rodolfo Teófilo,Amadeu Furtado,4
3,3,8615-0,ALFA 2 SPE EMPREENDIMENTO IMOBILIARIO LTDA,R  DELMIRO DE FARIAS 1900 QUADRA 50A RODOLFO TEÓFILO FORTALEZA - CE CEP:60430170,Sem Definição,-3.7442171,-38.5531882,Rodolfo Teófilo,Rodolfo Teófilo,34
7,7,15734-1,ARQUIDIOCESE DE FORTALEZA,R PDE FRANCISCO PINTO 555  BENFICA FORTALEZA - CE CEP:60020290,Católica Apostólica Romana,-3.7421289,-38.5418892,Benfica,Benfica,7
8,8,34470-2,ARQUIDIOCESE DE FORTALEZA,R SAO GABRIEL 130  JOAQUIM TÁVORA FORTALEZA - CE CEP:60120110,Católica Apostólica Romana,-3.7495389,-38.5183282,Joaquim Távora (Fortaleza),Joaquim Távora,22
9,9,146017-0,ARQUIDIOCESE DE FORTALEZA,R  PEDRO DE QUEIROS 1071  AMADEU FURTADO FORTALEZA - CE CEP:60455505,Católica Apostólica Romana,-3.7447422,-38.5586626,Amadeu Furtado,Amadeu Furtado,4
10,10,163552-2,ARQUIDIOCESE DE FORTALEZA,R  JOSE BASTOS 3919  DAMAS FORTALEZA - CE CEP:60442108,Católica Apostólica Romana,-3.7537702,-38.5538192,Damas,Damas,13
11,11,163557-3,ARQUIDIOCESE DE FORTALEZA,R  MATOS VASCONCELLOS 890  DAMAS FORTALEZA - CE CEP:60440018,Católica Apostólica Romana,-3.7532015,-38.5524908,Damas,Damas,13
12,12,3131-3,ARQUIDIOCESE DE FORTALEZA,AV  BEZERRA DE MENEZES   SN SÃO GERARDO FORTALEZA - CE CEP:60325001,Católica Apostólica Romana,-3.7339469,-38.5552687,São Gerardo,Parquelândia,29
13,13,146018-8,ARQUIDIOCESE DE FORTALEZA,R  NESTOR BARBOSA 315  AMADEU FURTADO FORTALEZA - CE CEP:60455610,Católica Apostólica Romana,-3.7447461,-38.5582749,Parquelândia,Amadeu Furtado,4
14,14,45028-6,ARQUIDIOCESE DE FORTALEZA,AV  DO IMPERADOR 1490  FARIAS BRITO FORTALEZA - CE CEP:60015052,Católica Apostólica Romana,-3.7340355,-38.5369203,Centro,Farias Brito,15
15,15,119778-9,ARQUIDIOCESE DE FORTALEZA,R  12 (CONJ. NOVA ASSUNCAO) 111  VILA VELHA FORTALEZA - CE CEP:60347770,Católica Apostólica Romana,-3.711898,-38.5994,Vila Velha,Vila Velha,39
16,16,191743-9,ARQUIDIOCESE DE FORTALEZA,R PRO HERIBALDO COSTA 680  HENRIQUE JORGE FORTALEZA - CE CEP:60521055,Católica Apostólica Romana,-3.7585135,-38.5832925,João XXIII,Henrique Jorge,45
17,17,310358-7,ARQUIDIOCESE DE FORTALEZA,R  ALFA (LAGOA REDONDA)   SN LAGOA REDONDA FORTALEZA - CE CEP:60831745,Católica Apostólica Romana,-3.8429502,-38.4676136,Lagoa Redonda,Lagoa Redonda,63
18,18,40171-4,ARQUIDIOCESE DE FORTALEZA,R CAP GUSTAVO 3940  SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60120075,Católica Apostólica Romana,-3.7559503,-38.5167492,Joaquim Távora (Fortaleza),Tauape,35
19,19,16439-9,ARQUIDIOCESE DE FORTALEZA,AV  DA UNIVERSIDADE 2974  BENFICA FORTALEZA - CE CEP:60020181,Católica Apostólica Romana,-3.7420931,-38.5405526,Benfica,Benfica,7
20,20,369434-8,ARQUIDIOCESE DE FORTALEZA,AV GAL OSORIO DE PAIVA   SN CANINDEZINHO FORTALEZA - CE CEP:60731335,Católica Apostólica Romana,-3.794173,-38.59173,Bom Jardim,Bom Jardim,72
21,21,200703-7,ARQUIDIOCESE DE FORTALEZA,TV  ACRE 50  PAN AMERICANO FORTALEZA - CE CEP:60440780,Católica Apostólica Romana,-3.756696,-38.5627274,Panamericano,Panamericano,104
22,22,30118-3,ARQUIDIOCESE DE FORTALEZA,R  PAULA RODRIGUES 100  FÁTIMA FORTALEZA - CE CEP:60411270,Católica Apostólica Romana,-3.753043299999999,-38.5266275,Fátima,Fátima,16
23,23,99474-0,ARQUIDIOCESE DE FORTALEZA,AV  DAS GRAVIOLAS 175  A CIDADE 2000 FORTALEZA - CE CEP:60190600,Católica Apostólica Romana,-3.7518745,-38.4737041,Cidade 2000,Cidade 2000,111
24,24,112449-8,ARQUIDIOCESE DE FORTALEZA,R  BARRA VERMELHA   SN GRANJA LISBOA FORTALEZA - CE CEP:60540472,Católica Apostólica Romana,-3.7855545,-38.6141394,Granja Lisboa,Granja Lisboa,78
25,25,191861-3,ARQUIDIOCESE DE FORTALEZA,R PRO MIRAMAR DA PONTE 150  HENRIQUE JORGE FORTALEZA - CE CEP:60521065,Católica Apostólica Romana,-3.7606194,-38.5851776,Não identificado,Henrique Jorge,45
26,26,283188-0,ARQUIDIOCESE DE FORTALEZA,AV  JUSCELINO KUBITSCHEK   SN-1 PASSARÉ FORTALEZA - CE CEP:60861635,Católica Apostólica Romana,-3.8097291,-38.52679330000001,Passaré,Passaré,88
27,27,3130-5,ARQUIDIOCESE DE FORTALEZA,AV  BEZERRA DE MENEZES   SN SÃO GERARDO FORTALEZA - CE CEP:60325001,Católica Apostólica Romana,-3.7339469,-38.5552687,São Gerardo,Parquelândia,29
28,28,18595-7,ARQUIDIOCESE DE FORTALEZA,AV DOM MANUEL 339  CENTRO FORTALEZA - CE CEP:60060090,Católica Apostólica Romana,-3.7271946,-38.5205843,Centro,Centro,10
29,29,191742-0,ARQUIDIOCESE DE FORTALEZA,R PRO PAULO LOPES 122  HENRIQUE JORGE FORTALEZA - CE CEP:60510395,Católica Apostólica Romana,-3.7579638,-38.5831437,Henrique Jorge,Henrique Jorge,45
30,30,63469-7,ARQUIDIOCESE DE FORTALEZA,AV DOM MANUEL 3  CENTRO FORTALEZA - CE CEP:60060090,Católica Apostólica Romana,-3.7240253,-38.5194377,Centro,Centro,10
31,31,156810-8,ARQUIDIOCESE DE FORTALEZA,AV TEN LISBOA 1669  JARDIM IRACEMA FORTALEZA - CE CEP:60310240,Católica Apostólica Romana,-3.7329888,-38.5880209,Antônio Bezerra,Olavo Oliveira,119
32,32,221869-0,ARQUIDIOCESE DE FORTALEZA,R DR FERNANDO AUGUSTO   GRANJA LISBOA FORTALEZA - CE CEP:60540265,Católica Apostólica Romana,-3.7900146,-38.6123975,Granja Lisboa,Granja Lisboa,78
33,33,70997-2,ARQUIDIOCESE DE FORTALEZA,AV DUQ DE CAXIAS   SN CENTRO FORTALEZA - CE CEP:60035110,Católica Apostólica Romana,-3.7321004,-38.5296408,Centro,Centro,10
