,razao_social,0
5,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,21
3,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,18
69,UNIAO NORTE BRASILEIRA DA IGREJA ADVENTISTA DO 7 DIA,14
39,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,11
33,IGREJA BETESDA DO CEARÁ,9
51,IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORTALEZA,3
22,CONGREGACAO DAS RELIGIOSAS SAGRADA FACE,3
55,LECTORIUM ROSICRUCIANUN,3
6,ASSOCIACAO B DAS FILHAS DE SANTANA,3
57,MISSIONARIAS DE SANTA TEREZINHA,2
42,IGREJA EVANGELICA ASSEMBLEIA DE DEUS FONTE INESGOTAVEL,2
67,UNIAO MISS DOS ADV DO SET DIA M R NO BR,2
45,IGREJA PRESBITERIANA DE MONTE CASTELO,2
50,INSTITUTO HESED D IR E IRMAS DA S CRUZ BAV MA DO M CARMELO,2
1,ANTIGA E MISTICA ORD ROSAE CRUCIS AMORC GLJL PORTUGUESA,2
41,IGREJA EVANGELICA ASSEMBLEIA DE DEUS FILADELFIA-MIN FILADELF,2
37,IGREJA DO EVANGELIO PLENO,2
10,ASSOCIACAO DA UNIAO ESTE BRASILEIRO DOS ADVENTISTA DO SETIMO DIA,2
68,UNIAO NE BRASILEIRA DA IGREJA ADVENTISTA DOS DIA,1
43,IGREJA EVANGELICA ASSMBLEIA DE DEUS DE BOM JESUS,1
49,INSTITUICAO RELIGIOSA PERFECT LIBERT,1
44,IGREJA PRESBITERIANA DA AEROLANDIA,1
46,IGREJA PRESBITERIANA DO BRASIL EM JARDIM AMERICA IPBJA,1
47,IGREJA PRESBITERIANA DO CONJ J. WALTER,1
48,IGREJA PRESBITERIANA INDEP DE HEN JORGE,1
65,SOCIEDADE EDUCACAO E CARIDADE,1
52,JORGE LUIZ ALBUQUERQUE ARRUDA,1
64,SEGUNDA IGREJA PREBISTERIANA DE FORTALEZA,1
53,JOSE ITALO RODRIGUES SANTIAGO,1
54,LAYLLA PRISCILLA MOREIRA DE LIMA,1
66,SOCIEDADE ESPIRITA IRMAO GERARDO - S.E.I.G,1
56,MARIA ERINEIDE FERNANDES,1
58,MITRA ARQUID.DE FORTALEZA DE VL.BETANIA,1
59,MITRA ARQUIDIOCESANA DE FORT. PAQ. NOSSA SENHORA DE FATIMA,1
60,ORDEM DA IMAC C BENAVENT V MARIA,1
61,PARÓQUIA SENHOR DO BONFIM,1
62,PRIMEIRA IGREJA BIBLICA INDEPENDENTE DE FORTALEZA,1
63,PROVINCIA SAO FRANCISCO DAS CHAGAS CEARA E PIAUI,1
40,IGREJA EVANGELICA ASSEMB DE DEUS-MINIST INTERNACIONAL BETHEL,1
0,ABIJCSUD,1
38,"IGREJA EVANG.ASSEMB.DEUS,MISSAO MIN.EM FORT.EST.CEARA",1
36,IGREJA DO EVANGELHO QUANDRANGULAR,1
2,ANTONIO NEUTON OLIVEIRA,1
4,ASSOC BRAS DA IGREJA DE JESUS CRISTO DOS SANTOS DOS ULT DIAS,1
7,ASSOCIACAO BRAS D'A IG DE JESUS CRISTO DOS ST DOS ULT DIAS,1
8,ASSOCIACAO BRASILEIRA DA IGREJA JESUS C SANTOS ULTIMOS DIAS,1
9,ASSOCIACAO BRASILEIRA IGREJA JESUS CISTO SANTOS ULTIMOS DIAS,1
11,ASSOCIACAO DAS IRMAS MISSIONARIAS,1
12,ASSOCIACAO DE ASSISTENCIA SOCIAL CATARINA LABOURE AASCL,1
13,BETHFAGE COMUNIDADE EVANGELICA,1
14,CARMELO SANTA TEREZINHA,1
15,CASA DOS PADRES SACRAMENTINO,1
16,CENTRO ESPIRITA JOAO O EVANGELISTA,1
17,CENTRO ESPÍRITA FRANCISCO DE ASSIS,1
18,CIRCULO DE TRAB. CRIST. DE OTAVIO BONFIM,1
19,COMBONIANOS NORDESTE,1
20,CONGREGACAO DAS IRMANZINHAS DA IMACULADA CONCEICAO,1
21,CONGREGACAO DAS IRMAS MISSIONARIAS DA IMACULADA CONCEICAO,1
23,CONGREGACAO EVANGELICA LUTERANA ESPERANNCA,1
24,CONGREGACAO FILHAS DE SANTA ANA,1
25,CONGREGAÇÃO DAS FILHAS DO CORAÇÃO IMACULADO DE MARIA,1
26,CONSELHO CENTRAL DE FORTALEZA DA SOC DE S VICENTE DE PAULO,1
27,EMPREENDIMENTO EDUCACIONAL MARACANAU LTDA,1
28,ESPOLIO DE FRANCISCO PEREIRA DE ALMEIDA,1
29,ESPÓLIO DE THEODORO DE CASTRO MOURA,1
30,FRANCILEIDE NASCIMENTO DE CASTRO,1
31,FRANCISCA CARNEIRO DE SOUZA,1
32,FRANCISCO SANDRO MARTINS,1
34,IGREJA BIBLICA DO SITIO BOATAN,1
35,IGREJA CRISTA MARANATA PRESBITERIO ESP SANTENSE,1
