,razao_social/Contribuinte,Estabelecimentos,Inscricoes_SEFIN
0,IGREJA UNIVERSAL DO REINO DE DEUS,169,24
1,MITRA ARQUIDIOCESANA DE FORTALEZA,86,24
2,IGREJA DO EVANGELHO QUADRANGULAR,32,13
3,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,20,19
4,COMUNIDADE CATOLICA SHALOM,11,3
5,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,9,10
6,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,7,6
7,DISTRITO DA IGREJA EVANGELICA WESLEYANA DO CEARA,7,3
8,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,7,6
9,PROVINCIA SAO FRANCISCO DAS CHAGAS DO CEARA E PIAUI,6,5
10,MINISTERIO GUERREIROS DE ORACAO,6,2
11,IGREJA PENTECOSTAL DEUS E AMOR,5,2
12,GRUPO ESPIRITA PAULO E ESTEVAO,4,2
13,MINISTERIO CANAA DA ASSEMBLEIA DE DEUS NO BRASIL,4,6
14,UNIAO NORDESTE BRASILEIRA DA IGREJA ADVENTISTA DO S DIA,4,5
15,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,3,4
16,ASSOCIACAO BIBLICA E CULTURAL DE MARACANAU,3,2
17,FEDERACAO ESPIRITA DO ESTADO DO CEARA FEEC,3,1
18,CONGREGACAO REDENTORISTA DO NORTE DO BRASIL,3,2
19,IGREJA BATISTA DA FE,3,2
20,IGREJA EM FORTALEZA,2,3
21,ASSOCIACAO BRASILEIRA DE EDUCACAO E ASSISTENCIA,2,2
22,ASSOCIACAO LAR ESPIRITA MEIMEI,2,1
23,IGREJA BATISTA AGAPE,2,2
24,CONGREGACAO PENIEL DE FORTALEZA,2,2
25,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,2,128
26,IGREJA EVANGELICA ADONAI,2,1
27,ASSEMBLEIA DE DEUS RIOS DE AGUA VIVA,2,1
28,IGREJA DE DEUS NO BRASIL,2,1
29,GRUPO ESPIRITA RAIO DE SOL,2,1
30,BAPTIST MID-MISSIONS DO BRASIL,2,1
31,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,2,8
32,PIA SOCIEDADE FILHAS DE SAO PAULO,2,1
33,ASSOCIACAO DA IGREJA METODISTA,2,1
34,IGREJA DE CRISTO NO PARQUE ARAXA,1,4
35,IGREJA CRISTA EVANGELICA FORTALECENSE,1,1
36,IGREJA EVANGELICA TABERNACULO DO AVIVAMENTO,1,2
37,IGREJA CRISTA EVANGELICA EBENEZER,1,1
38,IGREJA EVANGELICA TABERNACULO DE ADORADORES,1,1
39,IGREJA CRISTA EVANGELICA EMANUEL,1,1
40,IGREJA EVANGELICA TABERNACULO DA FE,1,1
41,IGREJA EVANGELICA RENOVADA DO BRASIL,1,1
