,razao_social/Contribuinte,Estabelecimentos,Inscricoes_SEFIN,base_origem
43,BANCO BRADESCO S.A.,298.0,1.0,Brasil IO
34,IGREJA UNIVERSAL DO REINO DE DEUS,169.0,24.0,Base_Tratada
115,MITRA ARQUIDIOCESANA DE FORTALEZA,86.0,24.0,Base_Tratada
5,IGREJA BATISTA INDEPENDENTE,49.0,1.0,Receita
24,IGREJA DO EVANGELHO QUADRANGULAR,32.0,13.0,Base_Tratada
10,CENTRO ESPIRITA JESUS DE NAZARE,31.0,1.0,Receita
143,DIOCESE DE TIANGUA,31.0,1.0,Brasil IO
11,PAROQUIA NOSSA SENHORA DA CONCEICAO,29.0,1.0,Receita
99,SERVICO SOCIAL DO COMERCIO - SESC - AR.CE.,27.0,1.0,Brasil IO
123,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,20.0,19.0,Base_Tratada
56,CONGREGACAO DAS FILHAS DE SANTA TERESA DE JESUS,15.0,1.0,Brasil IO
57,UNIAO NORTE BRASILEIRA DE EDUCACAO E CULTURA,14.0,2.0,Brasil IO
130,COMUNIDADE CATOLICA SHALOM,11.0,3.0,Base_Tratada
154,COLEGIO BATISTA SANTOS DUMONT,11.0,1.0,Brasil IO
68,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,9.0,10.0,Base_Tratada
6,FRANCISCO DE ASSIS OLIVEIRA,8.0,1.0,Brasil IO
71,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,7.0,6.0,Base_Tratada
125,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,7.0,6.0,Base_Tratada
31,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,7.0,5.0,Brasil IO
142,DISTRITO DA IGREJA EVANGELICA WESLEYANA DO CEARA,7.0,3.0,Base_Tratada
105,PROVINCIA SAO FRANCISCO DAS CHAGAS DO CEARA E PIAUI,6.0,5.0,Base_Tratada
117,MINISTERIO GUERREIROS DE ORACAO,6.0,2.0,Base_Tratada
28,IGREJA EVANGELICA ASSEMBLEIA DE DEUS BETESDA,6.0,1.0,Receita
78,IGREJA PENTECOSTAL DEUS E AMOR,5.0,2.0,Base_Tratada
91,INSTITUTO DAS MENSAGEIRAS DE SANTA MARIA,5.0,1.0,Brasil IO
118,MINISTERIO CANAA DA ASSEMBLEIA DE DEUS NO BRASIL,4.0,6.0,Base_Tratada
95,UNIAO NORDESTE BRASILEIRA DA IGREJA ADVENTISTA DO S DIA,4.0,5.0,Base_Tratada
32,GRUPO ESPIRITA PAULO E ESTEVAO,4.0,2.0,Base_Tratada
58,ASSOCIACAO EDUCACIONAL MARIA AUXILIADORA,4.0,2.0,Brasil IO
35,IGREJA ASSEMBLEIA DE DEUS MINISTERIO DEUS E FIEL,4.0,1.0,Receita
38,SEICHO NO IE DO BRASIL,4.0,1.0,Receita
37,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,3.0,4.0,Base_Tratada
12,IGREJA BATISTA DA FE,3.0,2.0,Base_Tratada
45,INSTITUICAO ESPIRITA NOSSO LAR,3.0,2.0,Brasil IO
72,ASSOCIACAO BIBLICA E CULTURAL DE MARACANAU,3.0,2.0,Base_Tratada
149,CONGREGACAO REDENTORISTA DO NORTE DO BRASIL,3.0,2.0,Base_Tratada
103,REDE DE EDUCACAO SMIC,3.0,1.0,Brasil IO
127,COLEGIO IRMA MARIA MONTENEGRO CIMM,3.0,1.0,Brasil IO
140,FEDERACAO ESPIRITA DO ESTADO DO CEARA FEEC,3.0,1.0,Base_Tratada
152,CONGREGACAO DAS MISSIONARIAS REPARADORAS DO C DE JESUS,3.0,1.0,Brasil IO
0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,2.0,128.0,Base_Tratada
89,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,2.0,8.0,Base_Tratada
109,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,2.0,6.0,Brasil IO
51,IGREJA EM FORTALEZA,2.0,3.0,Base_Tratada
144,DIACONIA,2.0,3.0,Brasil IO
151,CONGREGACAO DOS SACERDOTES DO SAGRADO CORACAO DE JESUS,2.0,3.0,Brasil IO
8,IGREJA BATISTA AGAPE,2.0,2.0,Base_Tratada
22,ASSOCIACAO NOVA JERUSALEM,2.0,2.0,Brasil IO
27,INSTITUTO MARIA IMACULADA,2.0,2.0,Brasil IO
42,CENTRO COMUNITARIO CRISTO REDENTOR,2.0,2.0,Brasil IO
79,ASSOCIACAO BRASILEIRA DE EDUCACAO E ASSISTENCIA,2.0,2.0,Base_Tratada
150,CONGREGACAO PENIEL DE FORTALEZA,2.0,2.0,Base_Tratada
2,CENTRO ESPIRITA BEZERRA DE MENEZES,2.0,1.0,Brasil IO
14,IGREJA DE DEUS NO BRASIL,2.0,1.0,Base_Tratada
23,IGREJA EVANGELICA ADONAI,2.0,1.0,Base_Tratada
49,IGREJA BATISTA DE MONTE CASTELO,2.0,1.0,Receita
54,IGREJA NOVA APOSTOLICA BRASIL,2.0,1.0,Receita
59,ASSOCIACAO CONGREGACAO DE SANTA CATARINA,2.0,1.0,Receita
61,ASSOCIACAO LAR ESPIRITA MEIMEI,2.0,1.0,Base_Tratada
63,ASSEMBLEIA DE DEUS RIOS DE AGUA VIVA,2.0,1.0,Base_Tratada
83,ASSOCIACAO DA IGREJA METODISTA,2.0,1.0,Base_Tratada
88,ASSOCIACAO DAS HUMILDES SERVAS DO SENHOR,2.0,1.0,Brasil IO
94,PROJETO MISSIONARIO,2.0,1.0,Brasil IO
112,PIA SOCIEDADE FILHAS DE SAO PAULO,2.0,1.0,Base_Tratada
132,GRUPO ESPIRITA RAIO DE SOL,2.0,1.0,Base_Tratada
171,BAPTIST MID-MISSIONS DO BRASIL,2.0,1.0,Base_Tratada
