,razao_social,0
5,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,21
3,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,18
81,UNIAO NORTE BRASILEIRA DA IGREJA ADVENTISTA DO 7 DIA,14
47,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,11
41,IGREJA BETESDA DO CEARÁ,9
26,CONGREGACAO DAS RELIGIOSAS SAGRADA FACE,3
6,ASSOCIACAO B DAS FILHAS DE SANTANA,3
65,LECTORIUM ROSICRUCIANUN,3
23,COMUNIDADE CATOLICA SHALOM,3
62,IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORTALEZA,3
56,IGREJA PRESBITERIANA DE MONTE CASTELO,2
79,UNIAO MISS DOS ADV DO SET DIA M R NO BR,2
50,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE BELA VISTA,2
1,ANTIGA E MISTICA ORD ROSAE CRUCIS AMORC GLJL PORTUGUESA,2
51,IGREJA EVANGELICA ASSEMBLEIA DE DEUS FILADELFIA-MIN FILADELF,2
52,IGREJA EVANGELICA ASSEMBLEIA DE DEUS FONTE INESGOTAVEL,2
61,INSTITUTO HESED D IR E IRMAS DA S CRUZ BAV MA DO M CARMELO,2
29,CONGREGACAO PENIEL DE FORTALEZA,2
11,ASSOCIACAO DA UNIAO ESTE BRASILEIRO DOS ADVENTISTA DO SETIMO DIA,2
67,MISSIONARIAS DE SANTA TEREZINHA,2
45,IGREJA DO EVANGELIO PLENO,2
60,INSTITUICAO RELIGIOSA PERFECT LIBERT,1
59,IGREJA PRESBITERIANA INDEP DE HEN JORGE,1
49,IGREJA EVANGELICA ASSEMBLEIA DE DEUS BETESDA,1
58,IGREJA PRESBITERIANA DO CONJ J. WALTER,1
57,IGREJA PRESBITERIANA DO BRASIL EM JARDIM AMERICA IPBJA,1
55,IGREJA PRESBITERIANA DA AEROLANDIA,1
53,IGREJA EVANGELICA ASSMBLEIA DE DEUS DE BOM JESUS,1
54,IGREJA NOVA APOSTOLICA BRASIL,1
4,ASSOC BRAS DA IGREJA DE JESUS CRISTO DOS SANTOS DOS ULT DIAS,1
63,JORGE LUIZ ALBUQUERQUE ARRUDA,1
73,PRIMEIRA IGREJA BIBLICA INDEPENDENTE DE FORTALEZA,1
80,UNIAO NE BRASILEIRA DA IGREJA ADVENTISTA DOS DIA,1
78,SOCIEDADE ESPIRITA IRMAO GERARDO - S.E.I.G,1
77,SOCIEDADE EDUCACAO E CARIDADE,1
76,SEICHO NO IE DO BRASIL,1
75,SEGUNDA IGREJA PREBISTERIANA DE FORTALEZA,1
74,PROVINCIA SAO FRANCISCO DAS CHAGAS CEARA E PIAUI,1
72,PARÓQUIA SENHOR DO BONFIM,1
2,ANTONIO NEUTON OLIVEIRA,1
71,PAROQUIA NOSSA SENHORA DA CONCEICAO,1
70,ORDEM DA IMAC C BENAVENT V MARIA,1
69,MITRA ARQUIDIOCESANA DE FORT. PAQ. NOSSA SENHORA DE FATIMA,1
68,MITRA ARQUID.DE FORTALEZA DE VL.BETANIA,1
66,MARIA ERINEIDE FERNANDES,1
64,JOSE ITALO RODRIGUES SANTIAGO,1
48,IGREJA EVANGELICA ASSEMB DE DEUS-MINIST INTERNACIONAL BETHEL,1
43,IGREJA CRISTA MARANATA PRESBITERIO ESP SANTENSE,1
46,"IGREJA EVANG.ASSEMB.DEUS,MISSAO MIN.EM FORT.EST.CEARA",1
15,CARMELO SANTA TEREZINHA,1
21,CIRCULO DE TRAB. CRIST. DE OTAVIO BONFIM,1
20,CENTRO ESPÍRITA FRANCISCO DE ASSIS,1
19,CENTRO ESPIRITA JOAO O EVANGELISTA,1
18,CENTRO ESPIRITA JESUS DE NAZARE,1
17,CASAS FRATERNAIS O NAZARENO,1
16,CASA DOS PADRES SACRAMENTINO,1
