,razao_social,0
55,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,53
7,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,21
5,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,18
128,UNIAO NORTE BRASILEIRA DA IGREJA ADVENTISTA DO 7 DIA,14
78,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,11
71,IGREJA BETESDA DO CEARÁ,9
18,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,6
22,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,5
54,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,5
125,UNIAO ESPIRITA CEARENSE,4
104,LECTORIUM ROSICRUCIANUN,3
56,DIACONIA,3
47,CONGREGACAO DAS RELIGIOSAS SAGRADA FACE,3
8,ASSOCIACAO B DAS FILHAS DE SANTANA,3
48,CONGREGACAO DOS SACERDOTES DO SAGRADO CORACAO DE JESUS,3
99,IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORTALEZA,3
92,INSTITUICAO ESPIRITA NOSSO LAR,2
83,IGREJA EVANGELICA ASSEMBLEIA DE DEUS FONTE INESGOTAVEL,2
98,INSTITUTO MARIA IMACULADA,2
108,MISSIONARIAS DE SANTA TEREZINHA,2
97,INSTITUTO HESED D IR E IRMAS DA S CRUZ BAV MA DO M CARMELO,2
88,IGREJA PRESBITERIANA DE MONTE CASTELO,2
28,CENTRO COMUNITARIO CRISTO REDENTOR,2
129,UNIAO NORTE BRASILEIRA DE EDUCACAO E CULTURA,2
82,IGREJA EVANGELICA ASSEMBLEIA DE DEUS FILADELFIA-MIN FILADELF,2
3,ANTIGA E MISTICA ORD ROSAE CRUCIS AMORC GLJL PORTUGUESA,2
76,IGREJA DO EVANGELIO PLENO,2
21,ASSOCIACAO NOVA JERUSALEM,2
126,UNIAO MISS DOS ADV DO SET DIA M R NO BR,2
81,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE BELA VISTA,2
19,ASSOCIACAO EDUCACIONAL MARIA AUXILIADORA,2
1,ACAO SOCIAL DA PAROQUIA DE SAO RAIMUNDO ASPAR,2
70,IGREJA BATISTA REGULAR FILADELFIA,2
13,ASSOCIACAO DA UNIAO ESTE BRASILEIRO DOS ADVENTISTA DO SETIMO DIA,2
91,IGREJA PRESBITERIANA INDEP DE HEN JORGE,1
93,INSTITUICAO RELIGIOSA PERFECT LIBERT,1
77,"IGREJA EVANG.ASSEMB.DEUS,MISSAO MIN.EM FORT.EST.CEARA",1
94,INSTITUTO BOM PASTOR,1
90,IGREJA PRESBITERIANA DO CONJ J. WALTER,1
84,IGREJA EVANGELICA ASSMBLEIA DE DEUS DE BOM JESUS,1
79,IGREJA EVANGELICA ASSEMB DE DEUS-MINIST INTERNACIONAL BETHEL,1
80,IGREJA EVANGELICA ASSEMBLEIA DE DEUS BETESDA,1
87,IGREJA PRESBITERIANA DA ALDEOTA,1
86,IGREJA PRESBITERIANA DA AEROLANDIA,1
