,Unnamed: 0,inscricao,razao_social,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
0,0,230390-6,ABIJCSUD,R  ELVIRA PINHO 220  MONTESE FORTALEZA - CE CEP:60421000,Outras religiosidades,-3.7667387,-38.5573519,Montese,Montese,103
4,4,606258-0,ANTIGA E MISTICA ORD ROSAE CRUCIS AMORC GLJL PORTUGUESA,R  ROSA CRUZ   VAZIO MARAPONGA FORTALEZA - CE CEP:60712115,Sem Definição,-3.7982575,-38.5688713,Maraponga,Jardim Cearense,80
5,5,256251-0,ANTIGA E MISTICA ORD ROSAE CRUCIS AMORC GLJL PORTUGUESA,R  ROSA CRUZ 951  MARAPONGA FORTALEZA - CE CEP:60711735,Sem Definição,-3.797296,-38.5723203,Maraponga,Maraponga,82
6,6,305745-3,ANTONIO NEUTON OLIVEIRA,R  DIADEMA 172  CONJUNTO PALMEIRAS FORTALEZA - CE CEP:60870150,Sem Definição,-3.8445929,-38.5222968,Conjunto Palmeiras,Conjunto Palmeiras,117
85,86,114056-6,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV MIN ALBUQUERQUE LIMA 270  CONJUNTO CEARÁ II FORTALEZA - CE CEP:60533694,Outras religiosidades,-3.7680032,-38.6090138,Conjunto Ceará I,Conjunto Ceará II,75
86,87,112272-0,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV  H (CONJ. CEARA II) 2477  GRANJA LISBOA FORTALEZA - CE CEP:60533667,Outras religiosidades,-3.777261,-38.620788,Granja Lisboa,Granja Lisboa,78
87,88,237303-3,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R TEN QUEIROS 400  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60360170,Outras religiosidades,-3.7447581,-38.589229,Antônio Bezerra,Antônio Bezerra,40
88,89,297224-7,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV  BERNARDO MANUEL 13020  MONDUBIM FORTALEZA - CE CEP:60762704,Outras religiosidades,-3.831697,-38.56169999999999,Mondubim,Mondubim,83
89,90,18221-4,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV  SANTOS DUMONT 1383  ALDEOTA FORTALEZA - CE CEP:60150161,Outras religiosidades,-3.7318528,-38.5113907,Manuel Dias Branco,Aldeota,2
90,91,298974-3,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R  FRANCISCO COSTA 55  JANGURUSSU FORTALEZA - CE CEP:60865220,Outras religiosidades,-3.8408835,-38.5162995,Jangurussu,Jangurussu,61
91,92,536996-7,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R PDE PERDIGAO SAMPAIO 400  QUINTINO CUNHA FORTALEZA - CE CEP:60352350,Outras religiosidades,-3.7399487,-38.5946386,Antônio Bezerra,Antônio Bezerra,40
92,93,343106-1,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R  BENTO GONCALVES 727  MANOEL SÁTIRO FORTALEZA - CE CEP:60763832,Outras religiosidades,-3.812028,-38.587414,Manoel Satiro,Novo Mondubim,120
93,94,47250-6,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R  GUILHERME MOREIRA 317  FÁTIMA FORTALEZA - CE CEP:60040490,Outras religiosidades,-3.7502264,-38.5248946,Fátima,Fátima,16
94,95,281745-4,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV  JUSCELINO KUBITSCHEK 3707  PASSARÉ FORTALEZA - CE CEP:60861635,Outras religiosidades,-3.8151736,-38.5303546,Passaré,Passaré,88
95,96,339998-2,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV  SANTOS DUMONT 6564  COCÓ FORTALEZA - CE CEP:60192022,Outras religiosidades,-3.7441055,-38.4746121,Manuel Dias Branco,Cocó,11
96,97,5681-2,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R  CASIMIRO MONTENEGRO 38  FARIAS BRITO FORTALEZA - CE CEP:60325720,Outras religiosidades,-3.7304204,-38.5466779,Monte Castelo,Farias Brito,15
97,98,178140-5,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R CAP VASCONCELOS 445  ALTO DA BALANÇA FORTALEZA - CE CEP:60851225,Outras religiosidades,-3.7660062,-38.5166466,Alto da Balança,Alto da Balança,93
98,99,373666-0,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV  AUGUSTO DOS ANJOS 2250  BONSUCESSO FORTALEZA - CE CEP:60542164,Outras religiosidades,-3.7860674,-38.5845109,Parangaba,Bonsucesso,73
