CNPJ Básico,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
37927392,1,49,1,,2,20200731,0,,,20200731,9491000,,AVENIDA,COMENDADOR FRANCISCO DE FRANCESCO DI ANGELO,1200,Q000E,DE LOURDES,60182345,CE,1389,85.0,92438434,85.0,87844803,,,CONTATO@SANASSESSORIACONTABIL.COM.BR,,
38468863,1,60,1,IGREJA BATISTA SHEKINAH,2,20200915,0,,,20200915,9491000,,RUA,PORTO ALEGRE,680,,HENRIQUE JORGE,60510205,CE,1389,85.0,88633019,,,,,PAULOCESAR.EC@BOL.COM.BR,,
39765965,1,0,1,LEAO DE JUDA,2,20201112,0,,,20201112,9491000,,RUA,CECIL SALGADO,630,,JARDIM GUANABARA,60346205,CE,1389,85.0,99120024,,,,,,,
40539183,1,32,1,,2,20210121,0,,,20210121,9491000,,RUA,ESTEVAO DE CAMPOS,1368,A,BARRA DO CEARA,60331240,CE,1389,85.0,97621913,,,,,,,
40955302,1,38,1,,2,20210223,0,,,20210223,9491000,,AVENIDA,ALMIRANTE TAMANDARE,41,,PRAIA DE IRACEMA,60060515,CE,1389,81.0,30340884,,,,,FISCAL2@JDLASSOCIADOS.COM.BR,,
37174174,35,20,2,CAPELANIA MILITAR DA BASE AEREA DE FORTALEZA,2,20071024,0,,,20071024,9491000,,AVENIDA,AV BORGES DE MELO,S/N,,AEROLANDIA,60415510,CE,1389,85.0,32163000,61.0,33124144,61.0,32018721,curia@defesa.gov.br,,
37174174,33,68,2,CAPELANIA MILITAR DO COMANDO DA DECIMA REGIAO MILITAR,2,20071024,0,,,20071024,9491000,,AVENIDA,AV ALBERTO NEPOMUCENO,S/N,,CENTRO,60055000,CE,1389,85.0,32551675,85.0,32612595,61.0,33124144,curia@defesa.gov.br,,
39622852,1,56,1,MINISTERIO EVANGELICO ATHOS DA CRUZ,2,20201030,0,,,20201030,9491000,,AVENIDA,GURGEL DO AMARAL,1539,,COACU,60871660,CE,1389,85.0,87059453,,,,,MEATHOSDACRUZ@GMAIL.COM,,
39778670,1,79,1,,2,20201113,0,,,20201113,9491000,"9430800,9493600,9499500",RUA,17 (CJ POLAR),170,,VILA VELHA,60347700,CE,1389,85.0,87811080,86.0,89708983,,,RAFAELM43210@GMAIL.COM,,
40192281,1,46,1,,2,20201223,0,,,20201223,9491000,,RUA,FREI VICENTE SALVADOR,1445,,MONTESE,60410228,CE,1389,85.0,96075948,,,,,LINCONL@REDECONT.CNT.BR,,
