inscricao,contribuinte,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
230390-6,ABIJCSUD,R  ELVIRA PINHO 220  MONTESE FORTALEZA - CE CEP:60421000,Outras religiosidades,-37.667.387,-385.573.519,Montese,Montese,103
210264-1,ACAO SOCIAL DA PAROQUIA DE SAO RAIMUNDO ASPAR,R  JOSE FREITAS DA SILVA   SN  BELA VISTA FORTALEZA - CE CEP:60442242,Católica Apostólica Romana,-37.480.226,-385.666.529,Bela Vista,Pici,106
7945-6,ACAO SOCIAL DA PAROQUIA DE SAO RAIMUNDO ASPAR,R  FRANCISCA CLOTILDE 826  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-37.445.849,-3.855.471.989.999.990,Rodolfo Teófilo,Amadeu Furtado,4
8615-0,ALFA 2 SPE EMPREENDIMENTO IMOBILIARIO LTDA,R  DELMIRO DE FARIAS 1900 QUADRA 50A RODOLFO TEÓFILO FORTALEZA - CE CEP:60430170,Sem Definição,-37.442.171,-385.531.882,Rodolfo Teófilo,Rodolfo Teófilo,34
606258-0,ANTIGA E MISTICA ORD ROSAE CRUCIS AMORC GLJL PORTUGUESA,R  ROSA CRUZ   VAZIO MARAPONGA FORTALEZA - CE CEP:60712115,Sem Definição,-37.982.575,-385.688.713,Maraponga,Jardim Cearense,80
256251-0,ANTIGA E MISTICA ORD ROSAE CRUCIS AMORC GLJL PORTUGUESA,R  ROSA CRUZ 951  MARAPONGA FORTALEZA - CE CEP:60711735,Sem Definição,-3.797.296,-385.723.203,Maraponga,Maraponga,82
305745-3,ANTONIO NEUTON OLIVEIRA,R  DIADEMA 172  CONJUNTO PALMEIRAS FORTALEZA - CE CEP:60870150,Sem Definição,-38.445.929,-385.222.968,Conjunto Palmeiras,Conjunto Palmeiras,117
15734-1,ARQUIDIOCESE DE FORTALEZA,R PDE FRANCISCO PINTO 555  BENFICA FORTALEZA - CE CEP:60020290,Católica Apostólica Romana,-37.421.289,-385.418.892,Benfica,Benfica,7
34470-2,ARQUIDIOCESE DE FORTALEZA,R SAO GABRIEL 130  JOAQUIM TÁVORA FORTALEZA - CE CEP:60120110,Católica Apostólica Romana,-37.495.389,-385.183.282,Joaquim Távora (Fortaleza),Joaquim Távora,22
146017-0,ARQUIDIOCESE DE FORTALEZA,R  PEDRO DE QUEIROS 1071  AMADEU FURTADO FORTALEZA - CE CEP:60455505,Católica Apostólica Romana,-37.447.422,-385.586.626,Amadeu Furtado,Amadeu Furtado,4
