,Unnamed: 0,inscricao,razao_social,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
7,7,15734-1,ARQUIDIOCESE DE FORTALEZA,R PDE FRANCISCO PINTO 555  BENFICA FORTALEZA - CE CEP:60020290,Católica Apostólica Romana,-37.421.289,-385.418.892,Benfica,Benfica,7
8,8,34470-2,ARQUIDIOCESE DE FORTALEZA,R SAO GABRIEL 130  JOAQUIM TÁVORA FORTALEZA - CE CEP:60120110,Católica Apostólica Romana,-37.495.389,-385.183.282,Joaquim Távora (Fortaleza),Joaquim Távora,22
9,9,146017-0,ARQUIDIOCESE DE FORTALEZA,R  PEDRO DE QUEIROS 1071  AMADEU FURTADO FORTALEZA - CE CEP:60455505,Católica Apostólica Romana,-37.447.422,-385.586.626,Amadeu Furtado,Amadeu Furtado,4
10,10,163552-2,ARQUIDIOCESE DE FORTALEZA,R  JOSE BASTOS 3919  DAMAS FORTALEZA - CE CEP:60442108,Católica Apostólica Romana,-37.537.702,-385.538.192,Damas,Damas,13
11,11,163557-3,ARQUIDIOCESE DE FORTALEZA,R  MATOS VASCONCELLOS 890  DAMAS FORTALEZA - CE CEP:60440018,Católica Apostólica Romana,-37.532.015,-385.524.908,Damas,Damas,13
12,12,3131-3,ARQUIDIOCESE DE FORTALEZA,AV  BEZERRA DE MENEZES   SN SÃO GERARDO FORTALEZA - CE CEP:60325001,Católica Apostólica Romana,-37.339.469,-385.552.687,São Gerardo,Parquelândia,29
13,13,146018-8,ARQUIDIOCESE DE FORTALEZA,R  NESTOR BARBOSA 315  AMADEU FURTADO FORTALEZA - CE CEP:60455610,Católica Apostólica Romana,-37.447.461,-385.582.749,Parquelândia,Amadeu Furtado,4
14,14,45028-6,ARQUIDIOCESE DE FORTALEZA,AV  DO IMPERADOR 1490  FARIAS BRITO FORTALEZA - CE CEP:60015052,Católica Apostólica Romana,-37.340.355,-385.369.203,Centro,Farias Brito,15
15,15,119778-9,ARQUIDIOCESE DE FORTALEZA,R  12 (CONJ. NOVA ASSUNCAO) 111  VILA VELHA FORTALEZA - CE CEP:60347770,Católica Apostólica Romana,-3.711.898,-385.994,Vila Velha,Vila Velha,39
16,16,191743-9,ARQUIDIOCESE DE FORTALEZA,R PRO HERIBALDO COSTA 680  HENRIQUE JORGE FORTALEZA - CE CEP:60521055,Católica Apostólica Romana,-37.585.135,-385.832.925,João XXIII,Henrique Jorge,45
17,17,310358-7,ARQUIDIOCESE DE FORTALEZA,R  ALFA (LAGOA REDONDA)   SN LAGOA REDONDA FORTALEZA - CE CEP:60831745,Católica Apostólica Romana,-38.429.502,-384.676.136,Lagoa Redonda,Lagoa Redonda,63
