,razao_social/Contribuinte,CNPJs,Inscricoes_SEFIN
0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,2092,128
1,CONGREGACAO CRISTA NO BRASIL,1141,19
2,CENTRO ESPIRITA BEZERRA DE MENEZES,78,1
3,IGREJA BATISTA ESPERANCA,51,1
4,IGREJA BATISTA MANANCIAL,50,1
5,IGREJA BATISTA INDEPENDENTE,49,1
6,FRANCISCO DE ASSIS OLIVEIRA,48,1
7,IGREJA BATISTA EMANUEL,42,1
8,IGREJA BATISTA AGAPE,41,2
9,CENTRO ESPIRITA CASA DO CAMINHO,39,1
10,CENTRO ESPIRITA JESUS DE NAZARE,31,1
11,PAROQUIA NOSSA SENHORA DA CONCEICAO,29,1
12,IGREJA BATISTA DA FE,22,2
13,CENTRO ESPIRITA JOAO BATISTA,21,1
14,IGREJA DE DEUS NO BRASIL,18,1
15,IGREJA BATISTA RESTAURACAO,17,1
16,IGREJA BATISTA ALVORADA,14,3
17,IGREJA BATISTA EL SHADAI,13,1
18,IGREJA EVANGELICA TABERNACULO DA FE,13,1
19,INSTITUTO BOM PASTOR,11,1
20,IGREJA PRESBITERIANA NOVA JERUSALEM,10,1
21,IGREJA BATISTA BEREIANA,9,1
22,ASSOCIACAO NOVA JERUSALEM,9,2
23,IGREJA EVANGELICA ADONAI,7,1
24,IGREJA DO EVANGELHO QUADRANGULAR,7,13
25,IGREJA BATISTA LUZ DO MUNDO,7,2
26,IGREJA BATISTA DO CORDEIRO,6,1
27,INSTITUTO MARIA IMACULADA,6,2
28,IGREJA EVANGELICA ASSEMBLEIA DE DEUS BETESDA,6,1
29,IGREJA ASSEMBLEIA DE DEUS MINISTERIO FILADELFIA,6,1
30,IGREJA BATISTA REGULAR FILADELFIA,6,2
31,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,5,5
32,GRUPO ESPIRITA PAULO E ESTEVAO,5,2
33,CASA DE NAZARE,4,3
34,IGREJA UNIVERSAL DO REINO DE DEUS,4,24
35,IGREJA ASSEMBLEIA DE DEUS MINISTERIO DEUS E FIEL,4,1
36,IGREJA CRISTA EVANGELICA EBENEZER,4,1
37,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,4,4
38,SEICHO NO IE DO BRASIL,4,1
39,IGREJA AVIVAMENTO PENTECOSTAL DA BIBLIA,3,1
40,IGREJA BATISTA RIO JORDAO,3,1
41,CENTRO ESPIRITA CAMILLE FLAMMARION,3,1
42,CENTRO COMUNITARIO CRISTO REDENTOR,3,2
43,BANCO BRADESCO S.A.,3,1
44,IGREJA CRISTA EVANGELICA EMANUEL,3,1
45,INSTITUICAO ESPIRITA NOSSO LAR,3,2
46,IGREJA ASSEMBLEIA DE DEUS NOVO VIVER,3,1
47,GRUPO ESPIRITA AVE LUZ,2,2
48,FUNDACAO BEZERRA DE MENEZES,2,1
49,IGREJA BATISTA DE MONTE CASTELO,2,1
50,IGREJA CONGREGACIONAL PENTECOSTAL,2,1
51,IGREJA EM FORTALEZA,2,3
52,IGREJA EVANGELICA TABERNACULO DO AVIVAMENTO,2,2
53,IGREJA MESSIANICA MUNDIAL DO BRASIL,2,1
54,IGREJA NOVA APOSTOLICA BRASIL,2,1
55,PAROQUIA DE SAO VICENTE DE PAULO,2,11
56,CONGREGACAO DAS FILHAS DE SANTA TERESA DE JESUS,2,1
57,UNIAO NORTE BRASILEIRA DE EDUCACAO E CULTURA,2,2
58,ASSOCIACAO EDUCACIONAL MARIA AUXILIADORA,2,2
59,ASSOCIACAO CONGREGACAO DE SANTA CATARINA,2,1
60,CENTRO JUVENIL DOM BOSCO,2,1
61,ASSOCIACAO LAR ESPIRITA MEIMEI,2,1
62,CENTRO ESPIRITA LAR DOS HUMILDES,2,1
63,ASSEMBLEIA DE DEUS RIOS DE AGUA VIVA,2,1
64,COMUNIDADE EVANGELICA TEMPLO DOS PRINCIPES,2,1
65,IGREJA PRESBITERIANA DE MARAPONGA,1,1
66,ASSOCIACAO BIBLICA E CULTURAL NOVO MUNDO DE PAZ,1,1
67,IGREJA PRESBITERIANA RENOVADA DE FORTALEZA,1,3
68,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,1,10
69,IGREJA TENRIKYO CENTRAL DE FORTALEZA,1,2
70,INSPETORIA MARIA AUXILIADORA,1,1
71,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,1,6
72,ASSOCIACAO BIBLICA E CULTURAL DE MARACANAU,1,2
73,INSTITUTO DAS FILHAS DE SANT'ANA-NORTE - INFISA-N,1,2
74,INSTITUTO DAS IRMAS MISSIONARIAS DE NOSSA SENHORA DAS DORES,1,2
75,IGREJA PRESBITERIANA DE FORTALEZA,1,2
76,IGREJA PRESBITERIANA DA ALDEOTA,1,1
77,INSTITUTO DE FORMACAO E ASSISTENCIA SOCIAL,1,1
78,IGREJA PENTECOSTAL DEUS E AMOR,1,2
79,ASSOCIACAO BRASILEIRA DE EDUCACAO E ASSISTENCIA,1,2
80,ASSOCIACAO CATOLICA DE EVANGELIZACAO MARIA PORTA DO CEU,1,1
81,IGREJA FUNDAMENTALISTA CRISTO E VIDA,1,1
82,IGREJA EVANGELICA TABERNACULO DE ADORADORES,1,1
83,ASSOCIACAO DA IGREJA METODISTA,1,1
84,IGREJA EVANGELICA RENOVADA DO BRASIL,1,1
85,IGREJA EVANGELICA BETEL PARA AS NACOES,1,1
86,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,1,8
87,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE BELA VISTA,1,2
88,ASSOCIACAO DAS HUMILDES SERVAS DO SENHOR,1,1
89,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,1,8
90,ASSOCIACAO DAS RELIGIOSAS DA INSTRUCAO CRISTA,1,1
91,INSTITUTO DAS MENSAGEIRAS DE SANTA MARIA,1,1
92,CONFERENCIA NACIONAL DOS BISPOS DO BRASIL,1,1
93,INSTITUTO JOSEFINO,1,4
94,PROJETO MISSIONARIO,1,1
95,UNIAO NORDESTE BRASILEIRA DA IGREJA ADVENTISTA DO S DIA,1,5
96,UNIAO ESPIRITA CEARENSE,1,4
97,SOCIEDADE MAE E RAINHA,1,1
98,SOCIEDADE ESPIRITA CARIDADE E ESPERANCA,1,1
99,SERVICO SOCIAL DO COMERCIO - SESC - AR.CE.,1,1
100,SEMINARIO TEOLOGICO BATISTA DO CEARA,1,1
101,SEMINARIO E INSTITUTO BIBLICO MARANATA,1,1
102,ALFA 2 SPE EMPREENDIMENTO IMOBILIARIO LTDA,1,1
