Razao_social/Contribuinte,Estabelecimentos / CNPJs,Inscricoes_SEFIN,base_origem
BANCO BRADESCO S.A.,298.0,1.0,Brasil IO
IGREJA UNIVERSAL DO REINO DE DEUS,169.0,24.0,Base_Tratada
MITRA ARQUIDIOCESANA DE FORTALEZA,86.0,24.0,Base_Tratada
IGREJA BATISTA INDEPENDENTE,49.0,1.0,Receita
IGREJA DO EVANGELHO QUADRANGULAR,32.0,13.0,Base_Tratada
CENTRO ESPIRITA JESUS DE NAZARE,31.0,1.0,Receita
DIOCESE DE TIANGUA,31.0,1.0,Brasil IO
PAROQUIA NOSSA SENHORA DA CONCEICAO,29.0,1.0,Receita
SERVICO SOCIAL DO COMERCIO - SESC - AR.CE.,27.0,1.0,Brasil IO
ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,20.0,19.0,Base_Tratada
CONGREGACAO DAS FILHAS DE SANTA TERESA DE JESUS,15.0,1.0,Brasil IO
UNIAO NORTE BRASILEIRA DE EDUCACAO E CULTURA,14.0,2.0,Brasil IO
COMUNIDADE CATOLICA SHALOM,11.0,3.0,Base_Tratada
COLEGIO BATISTA SANTOS DUMONT,11.0,1.0,Brasil IO
ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,9.0,10.0,Base_Tratada
FRANCISCO DE ASSIS OLIVEIRA,8.0,1.0,Brasil IO
ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,7.0,6.0,Base_Tratada
ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,7.0,6.0,Base_Tratada
CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,7.0,5.0,Brasil IO
DISTRITO DA IGREJA EVANGELICA WESLEYANA DO CEARA,7.0,3.0,Base_Tratada
PROVINCIA SAO FRANCISCO DAS CHAGAS DO CEARA E PIAUI,6.0,5.0,Base_Tratada
MINISTERIO GUERREIROS DE ORACAO,6.0,2.0,Base_Tratada
IGREJA EVANGELICA ASSEMBLEIA DE DEUS BETESDA,6.0,1.0,Receita
IGREJA PENTECOSTAL DEUS E AMOR,5.0,2.0,Base_Tratada
INSTITUTO DAS MENSAGEIRAS DE SANTA MARIA,5.0,1.0,Brasil IO
MINISTERIO CANAA DA ASSEMBLEIA DE DEUS NO BRASIL,4.0,6.0,Base_Tratada
UNIAO NORDESTE BRASILEIRA DA IGREJA ADVENTISTA DO S DIA,4.0,5.0,Base_Tratada
GRUPO ESPIRITA PAULO E ESTEVAO,4.0,2.0,Base_Tratada
ASSOCIACAO EDUCACIONAL MARIA AUXILIADORA,4.0,2.0,Brasil IO
IGREJA ASSEMBLEIA DE DEUS MINISTERIO DEUS E FIEL,4.0,1.0,Receita
