INSCRICAO,ENDEREÇO IMOVEL,CONTRIBUINTE,CLASSIFICACAO,BENEFICIO
230390-6,R  ELVIRA PINHO 220  MONTESE FORTALEZA - CE CEP:60421000,ABIJCSUD,Imunidade,Templos Religiosos
210264-1,R  JOSE FREITAS DA SILVA   SN  BELA VISTA FORTALEZA - CE CEP:60442242,ACAO SOCIAL DA PAROQUIA DE SAO RAIMUNDO ASPAR,Imunidade,Templos Religiosos
7945-6,R  FRANCISCA CLOTILDE 826  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,ACAO SOCIAL DA PAROQUIA DE SAO RAIMUNDO ASPAR,Imunidade,Templos Religiosos
8615-0,R  DELMIRO DE FARIAS 1900 QUADRA 50A RODOLFO TEÓFILO FORTALEZA - CE CEP:60430170,ALFA 2 SPE EMPREENDIMENTO IMOBILIARIO LTDA,Imunidade,Templos Religiosos
606258-0,R  ROSA CRUZ   VAZIO MARAPONGA FORTALEZA - CE CEP:60712115,ANTIGA E MISTICA ORD ROSAE CRUCIS AMORC GLJL PORTUGUESA,Imunidade,Templos Religiosos
256251-0,R  ROSA CRUZ 951  MARAPONGA FORTALEZA - CE CEP:60711735,ANTIGA E MISTICA ORD ROSAE CRUCIS AMORC GLJL PORTUGUESA,Imunidade,Templos Religiosos
305745-3,R  DIADEMA 172  CONJUNTO PALMEIRAS FORTALEZA - CE CEP:60870150,ANTONIO NEUTON OLIVEIRA,Imunidade,Templos Religiosos
15734-1,R PDE FRANCISCO PINTO 555  BENFICA FORTALEZA - CE CEP:60020290,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
34470-2,R SAO GABRIEL 130  JOAQUIM TÁVORA FORTALEZA - CE CEP:60120110,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
146017-0,R  PEDRO DE QUEIROS 1071  AMADEU FURTADO FORTALEZA - CE CEP:60455505,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
163552-2,R  JOSE BASTOS 3919  DAMAS FORTALEZA - CE CEP:60442108,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
163557-3,R  MATOS VASCONCELLOS 890  DAMAS FORTALEZA - CE CEP:60440018,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
3131-3,AV  BEZERRA DE MENEZES   SN SÃO GERARDO FORTALEZA - CE CEP:60325001,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
146018-8,R  NESTOR BARBOSA 315  AMADEU FURTADO FORTALEZA - CE CEP:60455610,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
45028-6,AV  DO IMPERADOR 1490  FARIAS BRITO FORTALEZA - CE CEP:60015052,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
119778-9,R  12 (CONJ. NOVA ASSUNCAO) 111  VILA VELHA FORTALEZA - CE CEP:60347770,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
191743-9,R PRO HERIBALDO COSTA 680  HENRIQUE JORGE FORTALEZA - CE CEP:60521055,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
310358-7,R  ALFA (LAGOA REDONDA)   SN LAGOA REDONDA FORTALEZA - CE CEP:60831745,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
40171-4,R CAP GUSTAVO 3940  SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60120075,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
16439-9,AV  DA UNIVERSIDADE 2974  BENFICA FORTALEZA - CE CEP:60020181,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
369434-8,AV GAL OSORIO DE PAIVA   SN CANINDEZINHO FORTALEZA - CE CEP:60731335,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
200703-7,TV  ACRE 50  PAN AMERICANO FORTALEZA - CE CEP:60440780,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
30118-3,R  PAULA RODRIGUES 100  FÁTIMA FORTALEZA - CE CEP:60411270,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
99474-0,AV  DAS GRAVIOLAS 175  A CIDADE 2000 FORTALEZA - CE CEP:60190600,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
112449-8,R  BARRA VERMELHA   SN GRANJA LISBOA FORTALEZA - CE CEP:60540472,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
191861-3,R PRO MIRAMAR DA PONTE 150  HENRIQUE JORGE FORTALEZA - CE CEP:60521065,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
283188-0,AV  JUSCELINO KUBITSCHEK   SN-1 PASSARÉ FORTALEZA - CE CEP:60861635,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
3130-5,AV  BEZERRA DE MENEZES   SN SÃO GERARDO FORTALEZA - CE CEP:60325001,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
18595-7,AV DOM MANUEL 339  CENTRO FORTALEZA - CE CEP:60060090,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
191742-0,R PRO PAULO LOPES 122  HENRIQUE JORGE FORTALEZA - CE CEP:60510395,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
63469-7,AV DOM MANUEL 3  CENTRO FORTALEZA - CE CEP:60060090,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
156810-8,AV TEN LISBOA 1669  JARDIM IRACEMA FORTALEZA - CE CEP:60310240,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
221869-0,R DR FERNANDO AUGUSTO   GRANJA LISBOA FORTALEZA - CE CEP:60540265,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
70997-2,AV DUQ DE CAXIAS   SN CENTRO FORTALEZA - CE CEP:60035110,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
102275-0,R SEN ROBERT KENNEDY 641  BARRA DO CEARÁ FORTALEZA - CE CEP:60332170,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
163559-0,R  MATOS VASCONCELLOS 904  DAMAS FORTALEZA - CE CEP:60440018,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
166600-2,R CON DE CASTRO   SN PARANGABA FORTALEZA - CE CEP:60720095,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
129834-8,R  ALBERTO FERREIRA 230  IGREJA JARDIM IRACEMA FORTALEZA - CE CEP:60341140,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos
