,INSCRICAO,ENDEREÇO IMOVEL,CONTRIBUINTE,CLASSIFICACAO,BENEFICIO,geocode_result
0,230390-6,R  ELVIRA PINHO 220  MONTESE FORTALEZA - CE CEP:60421000,ABIJCSUD,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '220', 'short_name': '220', 'types': ['street_number']}, {'long_name': 'Rua Elvira Pinho', 'short_name': 'R. Elvira Pinho', 'types': ['route']}, {'long_name': 'Montese', 'short_name': 'Montese', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60421-000', 'short_name': '60421-000', 'types': ['postal_code']}], 'formatted_address': 'R. Elvira Pinho, 220 - Montese, Fortaleza - CE, 60421-000, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7664997, 'lng': -38.5571499}, 'southwest': {'lat': -3.766923799999999, 'lng': -38.5574778}}, 'location': {'lat': -3.7667387, 'lng': -38.5573519}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.765362769708497, 'lng': -38.5559648697085}, 'southwest': {'lat': -3.768060730291502, 'lng': -38.5586628302915}}}, 'place_id': 'ChIJPxeWkrJOxwcRy8t0wiaW6pw', 'types': ['premise']}]"
1,210264-1,R  JOSE FREITAS DA SILVA   SN  BELA VISTA FORTALEZA - CE CEP:60442242,ACAO SOCIAL DA PAROQUIA DE SAO RAIMUNDO ASPAR,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': 'Rua José Freitas da Silva', 'short_name': 'R. José Freitas da Silva', 'types': ['route']}, {'long_name': 'Bela Vista', 'short_name': 'Bela Vista', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60442-240', 'short_name': '60442-240', 'types': ['postal_code']}], 'formatted_address': 'R. José Freitas da Silva - Bela Vista, Fortaleza - CE, 60442-240, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.747045999999999, 'lng': -38.5651817}, 'southwest': {'lat': -3.7492001, 'lng': -38.567631}}, 'location': {'lat': -3.7480226, 'lng': -38.5666529}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -3.746774069708497, 'lng': -38.56505736970851}, 'southwest': {'lat': -3.749472030291502, 'lng': -38.5677553302915}}}, 'partial_match': True, 'place_id': 'Ej5SLiBKb3PDqSBGcmVpdGFzIGRhIFNpbHZhIC0gQmVsYSBWaXN0YSwgRm9ydGFsZXphIC0gQ0UsIEJyYXppbCIuKiwKFAoSCYmQeIdgSccHEXFnGBpI4KCEEhQKEgnx7puFXUnHBxFaer6pCJ3dnw', 'types': ['route']}]"
2,7945-6,R  FRANCISCA CLOTILDE 826  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,ACAO SOCIAL DA PAROQUIA DE SAO RAIMUNDO ASPAR,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '826', 'short_name': '826', 'types': ['street_number']}, {'long_name': 'Rua Francisca Clotilde', 'short_name': 'R. Francisca Clotilde', 'types': ['route']}, {'long_name': 'Rodolfo Teófilo', 'short_name': 'Rodolfo Teófilo', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60431-072', 'short_name': '60431-072', 'types': ['postal_code']}], 'formatted_address': 'R. Francisca Clotilde, 826 - Rodolfo Teófilo, Fortaleza - CE, 60431-072, Brazil', 'geometry': {'location': {'lat': -3.7445849, 'lng': -38.55471989999999}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.743235919708498, 'lng': -38.5533709197085}, 'southwest': {'lat': -3.745933880291502, 'lng': -38.55606888029149}}}, 'place_id': 'ChIJDaZtyG5JxwcRGrnbCkknBbA', 'plus_code': {'compound_code': '7C4W+54 Rodolfo Teófilo, Fortaleza - State of Ceará, Brazil', 'global_code': '69837C4W+54'}, 'types': ['street_address']}]"
3,8615-0,R  DELMIRO DE FARIAS 1900 QUADRA 50A RODOLFO TEÓFILO FORTALEZA - CE CEP:60430170,ALFA 2 SPE EMPREENDIMENTO IMOBILIARIO LTDA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': 'QUADRA 50A', 'short_name': 'QUADRA 50A', 'types': ['subpremise']}, {'long_name': '1900', 'short_name': '1900', 'types': ['street_number']}, {'long_name': 'Rua Delmiro de Farias', 'short_name': 'R. Delmiro de Farias', 'types': ['route']}, {'long_name': 'Rodolfo Teófilo', 'short_name': 'Rodolfo Teófilo', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60430-160', 'short_name': '60430-160', 'types': ['postal_code']}], 'formatted_address': 'R. Delmiro de Farias, 1900 - QUADRA 50A - Rodolfo Teófilo, Fortaleza - CE, 60430-160, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7441448, 'lng': -38.5531205}, 'southwest': {'lat': -3.744271, 'lng': -38.5532464}}, 'location': {'lat': -3.7442171, 'lng': -38.5531882}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.742858919708497, 'lng': -38.5518344697085}, 'southwest': {'lat': -3.745556880291502, 'lng': -38.5545324302915}}}, 'place_id': 'El1SLiBEZWxtaXJvIGRlIEZhcmlhcywgMTkwMCAtIFFVQURSQSA1MEEgLSBSb2RvbGZvIFRlw7NmaWxvLCBGb3J0YWxlemEgLSBDRSwgNjA0MzAtMTYwLCBCcmF6aWwiJhokChYKFAoSCVvHvR9sSccHEaGlBLTaK3YrEgpRVUFEUkEgNTBB', 'types': ['subpremise']}]"
4,606258-0,R  ROSA CRUZ   VAZIO MARAPONGA FORTALEZA - CE CEP:60712115,ANTIGA E MISTICA ORD ROSAE CRUCIS AMORC GLJL PORTUGUESA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': 'Rua Rosa Cruz', 'short_name': 'R. Rosa Cruz', 'types': ['route']}, {'long_name': 'Maraponga', 'short_name': 'Maraponga', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}], 'formatted_address': 'R. Rosa Cruz - Maraponga, Fortaleza - CE, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7967047, 'lng': -38.5645992}, 'southwest': {'lat': -3.8004615, 'lng': -38.574751}}, 'location': {'lat': -3.7982575, 'lng': -38.5688713}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -3.7967047, 'lng': -38.5645992}, 'southwest': {'lat': -3.8004615, 'lng': -38.574751}}}, 'partial_match': True, 'place_id': 'EjBSLiBSb3NhIENydXogLSBNYXJhcG9uZ2EsIEZvcnRhbGV6YSAtIENFLCBCcmF6aWwiLiosChQKEgk3V1qd1E3HBxGj-IM5ppOatBIUChIJqaWC8oJOxwcRvCfVFRlFTB8', 'types': ['route']}]"
5,256251-0,R  ROSA CRUZ 951  MARAPONGA FORTALEZA - CE CEP:60711735,ANTIGA E MISTICA ORD ROSAE CRUCIS AMORC GLJL PORTUGUESA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '951', 'short_name': '951', 'types': ['street_number']}, {'long_name': 'Rua Rosa Cruz', 'short_name': 'R. Rosa Cruz', 'types': ['route']}, {'long_name': 'Maraponga', 'short_name': 'Maraponga', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60713-050', 'short_name': '60713-050', 'types': ['postal_code']}], 'formatted_address': 'R. Rosa Cruz, 951 - Maraponga, Fortaleza - CE, 60713-050, Brazil', 'geometry': {'location': {'lat': -3.797296, 'lng': -38.5723203}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.795947019708497, 'lng': -38.5709713197085}, 'southwest': {'lat': -3.798644980291502, 'lng': -38.5736692802915}}}, 'place_id': 'ChIJdfLf0dRNxwcR_2siLL8j8oc', 'plus_code': {'compound_code': '6C3H+33 Maraponga, Fortaleza - State of Ceará, Brazil', 'global_code': '69836C3H+33'}, 'types': ['street_address']}]"
6,305745-3,R  DIADEMA 172  CONJUNTO PALMEIRAS FORTALEZA - CE CEP:60870150,ANTONIO NEUTON OLIVEIRA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '172', 'short_name': '172', 'types': ['street_number']}, {'long_name': 'Rua Diadema', 'short_name': 'R. Diadema', 'types': ['route']}, {'long_name': 'Conjunto Palmeiras', 'short_name': 'Conj. Palmeiras', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60870-150', 'short_name': '60870-150', 'types': ['postal_code']}], 'formatted_address': 'R. Diadema, 172 - Conj. Palmeiras, Fortaleza - CE, 60870-150, Brazil', 'geometry': {'location': {'lat': -3.8445929, 'lng': -38.5222968}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.843243919708498, 'lng': -38.5209478197085}, 'southwest': {'lat': -3.845941880291502, 'lng': -38.5236457802915}}}, 'place_id': 'ChIJCdVgBjRQxwcR1fxBOK3y5YY', 'plus_code': {'compound_code': '5F4H+53 Conjunto Palmeiras, Fortaleza - State of Ceará, Brazil', 'global_code': '69835F4H+53'}, 'types': ['street_address']}]"
7,15734-1,R PDE FRANCISCO PINTO 555  BENFICA FORTALEZA - CE CEP:60020290,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '555', 'short_name': '555', 'types': ['street_number']}, {'long_name': 'Rua Padre Francisco Pinto', 'short_name': 'Rua Padre Francisco Pinto', 'types': ['route']}, {'long_name': 'Benfica', 'short_name': 'Benfica', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60020-181', 'short_name': '60020-181', 'types': ['postal_code']}], 'formatted_address': 'Rua Padre Francisco Pinto, 555 - Benfica, Fortaleza - CE, 60020-181, Brazil', 'geometry': {'location': {'lat': -3.7421313, 'lng': -38.5418915}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -3.740782319708498, 'lng': -38.5405425197085}, 'southwest': {'lat': -3.743480280291502, 'lng': -38.5432404802915}}}, 'place_id': 'EkBSdWEgUGFkcmUgRnJhbmNpc2NvIFBpbnRvLCA1NTUgLSBCZW5maWNhLCBGb3J0YWxlemEgLSBDRSwgQnJhemlsIhsSGQoUChIJffjdwhFJxwcRDNYWv_kir3MQqwQ', 'types': ['street_address']}]"
8,34470-2,R SAO GABRIEL 130  JOAQUIM TÁVORA FORTALEZA - CE CEP:60120110,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '130', 'short_name': '130', 'types': ['street_number']}, {'long_name': 'Rua São Gabriel', 'short_name': 'Rua São Gabriel', 'types': ['route']}, {'long_name': 'Joaquim Távora (Fortaleza)', 'short_name': 'Joaquim Távora (Fortaleza)', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60120-110', 'short_name': '60120-110', 'types': ['postal_code']}], 'formatted_address': 'Rua São Gabriel, 130 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60120-110, Brazil', 'geometry': {'location': {'lat': -3.7495389, 'lng': -38.5183282}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.748189919708498, 'lng': -38.5169792197085}, 'southwest': {'lat': -3.750887880291502, 'lng': -38.5196771802915}}}, 'place_id': 'ChIJS0KcpOdIxwcRGBS2V0xygJc', 'plus_code': {'compound_code': '7F2J+5M Joaquim Távora (Fortaleza), Fortaleza - State of Ceará, Brazil', 'global_code': '69837F2J+5M'}, 'types': ['street_address']}]"
9,146017-0,R  PEDRO DE QUEIROS 1071  AMADEU FURTADO FORTALEZA - CE CEP:60455505,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '1071', 'short_name': '1071', 'types': ['street_number']}, {'long_name': 'Rua Pedro de Queirós', 'short_name': 'R. Pedro de Queirós', 'types': ['route']}, {'long_name': 'Amadeu Furtado', 'short_name': 'Amadeu Furtado', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60455-505', 'short_name': '60455-505', 'types': ['postal_code']}], 'formatted_address': 'R. Pedro de Queirós, 1071 - Amadeu Furtado, Fortaleza - CE, 60455-505, Brazil', 'geometry': {'location': {'lat': -3.7447422, 'lng': -38.5586626}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -3.743393219708497, 'lng': -38.5573136197085}, 'southwest': {'lat': -3.746091180291502, 'lng': -38.5600115802915}}}, 'place_id': 'Ek5SLiBQZWRybyBkZSBRdWVpcsOzcywgMTA3MSAtIEFtYWRldSBGdXJ0YWRvLCBGb3J0YWxlemEgLSBDRSwgNjA0NTUtNTA1LCBCcmF6aWwiGxIZChQKEgmH6nMBZknHBxHpMTiy6r4BsxCvCA', 'types': ['street_address']}]"
