,CNPJ_basico,razao_social,Data início_atividade,Situação Cadastral,Data início_atividade,porte_da_empresa,End_comp,lat,lng,bairro_name,bairro_GID
0,41396805,IGREJA EVANGELICA BATISTA LIBERDADE,19920205.0,2.0,19920205.0,5.0,"RUA VINTE UM, 10, , JOSE WALTER, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.8238258,-38.5513024,Prefeito José Walter,89
1,41409178,IGREJA BATISTA BEREIANA,19920812.0,2.0,19920812.0,5.0,"RUA CAP VASCONCELOS, 347, , AEROLANDIA, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.765209899999999,-38.5169955,Alto da Balança,93
2,41533342,IGREJA VIDA NOVA,20210211.0,2.0,20210211.0,5.0,"AVENIDA AUDIZIO PINHEIRO, 1082, , HENRIQUE JORGE, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7608117,-38.5901665,Henrique Jorge,45
3,41534812,IGREJA MINISTERIO SAL E LUZ FORTALEZA,20210218.0,2.0,20210218.0,5.0,"RUA CORONEL ALUISIO BORBA, 708,       Q009, ENGENHEIRO LUCIANO CAVALCANTE, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.778978999999999,-38.490595,Engenheiro Luciano Cavalcante,58
4,41585977,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,20120621.0,2.0,20120621.0,5.0,"RUA OTAVIO PARANHOS, 385, , JARDIM IRACEMA, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7211692,-38.58593949999999,Jardim Iracema,21
5,41585977,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,19921021.0,2.0,19921021.0,5.0,"RUA RIBEIRAO NOVO, 125, , BARRA DO CEARA, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7061338,-38.5769998,Barra do Ceará,6
6,41585977,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,20120621.0,2.0,20120621.0,5.0,"RUA JOSE PEDRA, 1301, , PARQUE DOIS IRMAOS, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7989972,-38.5505216,Parque Dois Irmãos,84
7,41585977,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,20120621.0,2.0,20120621.0,5.0,"RUA MARTINS CARVALHO, 3200, , GRANJA LISBOA, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.789533399999999,-38.6234425,Granja Lisboa,78
8,41585977,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,20120621.0,2.0,20120621.0,5.0,"AVENIDA BERNARDO MANUEL, 12750, , MONDUBIM, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.8294311,-38.5606458,Mondubim,83
9,41585977,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,20120621.0,2.0,20120621.0,5.0,"RUA MACEIO, 1594, , HENRIQUE JORGE, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7654309,-38.59178,Henrique Jorge,45
