Inscrição Sefin,contribuinte,Endereço,Categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
606258-0,ANTIGA E MISTICA ORD ROSAE CRUCIS AMORC GLJL PORTUGUESA,R  ROSA CRUZ   VAZIO MARAPONGA FORTALEZA - CE CEP:60712115,Sem Definição,-37.982.575,-385.688.713,Maraponga,Jardim Cearense,80
256251-0,ANTIGA E MISTICA ORD ROSAE CRUCIS AMORC GLJL PORTUGUESA,R  ROSA CRUZ 951  MARAPONGA FORTALEZA - CE CEP:60711735,Sem Definição,-3.797.296,-385.723.203,Maraponga,Maraponga,82
305745-3,ANTONIO NEUTON OLIVEIRA,R  DIADEMA 172  CONJUNTO PALMEIRAS FORTALEZA - CE CEP:60870150,Sem Definição,-38.445.929,-385.222.968,Conjunto Palmeiras,Conjunto Palmeiras,117
207171-1,CASAS FRATERNAIS O NAZARENO,R  GUILHERME PERDIGAO 89  PARANGABA FORTALEZA - CE CEP:60720420,Sem Definição,-37.745.212,-385.707.585,Parangaba,Parangaba,105
44459-6,CIRCULO DE TRAB. CRIST. DE OTAVIO BONFIM,R  CARLOS SEVERO 171  FARIAS BRITO FORTALEZA - CE CEP:60011100,Sem Definição,-3.732.496,-385.415.923,Farias Brito,Farias Brito,15
8328-3,CONGREGACAO DAS IRMANZINHAS DA IMACULADA CONCEICAO,R MAJ WEYNE 1624  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430450,Sem Definição,-37.409.708,-385.527.056,Rodolfo Teófilo,Rodolfo Teófilo,34
297684-6,CONGREGACAO PENIEL DE FORTALEZA,R  ALZIRA PARENTE 380  LAGOA REDONDA FORTALEZA - CE CEP:60000000,Outras religiosidades,-3.826.968.399.999.990,-384.546.425,Lagoa Redonda,Lagoa Redonda,63
204174-0,ESPOLIO DE FRANCISCO PEREIRA DE ALMEIDA,R  MARIO DE ANDRADE   SN BELA VISTA FORTALEZA - CE CEP:60442132,Sem Definição,-37.498.125,-385.621.889,Bela Vista,Bela Vista,94
95690-2,FRANCILEIDE NASCIMENTO DE CASTRO,R  FILIPE CAMARAO 874  CRISTO REDENTOR FORTALEZA - CE CEP:60337620,Sem Definição,-3.708.632,-385.601.709,Cristo Redentor,Cristo Redentor,12
163556-5,FRANCISCO SANDRO MARTINS,R  MATOS VASCONCELLOS 886  DAMAS FORTALEZA - CE CEP:60440018,Sem Definição,-3.753.324,-385.523,Damas,Damas,13
940117-2,IGREJA BIBLICA HERDEIROS DE DEUS,R  A RES JACIARA MUTIRAO 90  BARRA DO CEARÁ FORTALEZA - CE CEP:60000000,Sem Definição,-37.117.228,-38.582,Barra do Ceará,Barra do Ceará,6
207109-6,IGREJA BIBLICA SANTA FE,R  CANDIDO HOLANDA 65  PARANGABA FORTALEZA - CE CEP:60720360,Sem Definição,-37.721.522,-3.856.993.689.999.990,Parangaba,Parangaba,105
156983-0,IGREJA DE DEUS NO BRASIL,AV  INDEPENDENCIA 2977  JARDIM IRACEMA FORTALEZA - CE CEP:60353165,Sem Definição,-37.226.885,-386.055.245,Vila Velha,Vila Velha,39
256741-5,IGREJA TENRIKYO CENTRAL DE FORTALEZA,R  ALTAIR 200  MARAPONGA FORTALEZA - CE CEP:60711010,Sem Definição,-37.954.558,-385.643.282,Maraponga,Maraponga,82
499317-9,IGREJA TENRIKYO CENTRAL DE FORTALEZA,R  ALTAIR 200  MARAPONGA FORTALEZA - CE CEP:60711010,Sem Definição,-37.954.558,-385.643.282,Maraponga,Maraponga,82
165664-3,INSPETORIA MARIA AUXILIADORA,R  OSWALDO ARANHA 31  PARANGABA FORTALEZA - CE CEP:60720840,Sem Definição,-3.783.159.399.999.990,-385.720.563,Parangaba,Parangaba,105
313697-3,LECTORIUM ROSICRUCIANUM,R  VICENTE LOPES 195  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60813803,Outras religiosidades,-37.849.465,-384.943.854,Cidade dos Funcionários,Engenheiro Luciano Cavalcante,58
336495-0,LECTORIUM ROSICRUCIANUN,R  DOS MAIAS (ENGENHEIRO LUCIANO CAVALCANTE) 750  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60813805,Outras religiosidades,-37.858.399,-384.936.559,Luciano Cavalcante,Engenheiro Luciano Cavalcante,58
450468-2,LECTORIUM ROSICRUCIANUN,R  DOS MAIAS (ENGENHEIRO LUCIANO CAVALCANTE) 90  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60813805,Outras religiosidades,-37.847.645,-384.935.951,Luciano Cavalcante,Engenheiro Luciano Cavalcante,58
666568-3,LECTORIUM ROSICRUCIANUN,R  CLEITON HELAIDE PIMENTA   TERRENO INTERNO VAZIO ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60821410,Outras religiosidades,-3.784.073,-384.951.827,Luciano Cavalcante,Jardim das Oliveiras,62
42817-5,MARIA ERINEIDE FERNANDES,R SEN CATUNDA 100  BENFICA FORTALEZA - CE CEP:60015320,Sem Definição,-3.739.883.899.999.990,-385.361.741,Benfica,Benfica,7
282769-7,PROJETO MISSIONARIO,R  ITABORAI 267  PASSARÉ FORTALEZA - CE CEP:60861830,Sem Definição,-38.128.265,-385.183.007,Passaré,Passaré,88
